PrimaryPropertyType,Neighborhood,LargestPropertyUseType,ComplianceStatus,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
largeoffice,MAGNOLIA / QUEEN ANNE,Office,Compliant,1.0,3,105061,28217,76844,83533.0,100.0,53.40000153,1420513.25,9.5,0.09,3
smallandmidsizedoffice,DOWNTOWN,Office,Compliant,1.0,3,62662,14989,47673,47000.0,67.0,172.8999939,2626698.25,20.1,0.32,3
hotel,BALLARD,Hotel,Compliant,1.0,4,62381,22948,39433,60245.0,62.0,182.3000031,3497215.5,24.38,0.39,3
seniorcarecommunity,Central,Senior Care Community,Compliant,1.0,6,79805,0,79805,79805.0,25.0,223.3000031,7692164.0,184.81,2.32,3
ktwelveschool,NORTHWEST,K-12 School,Compliant,1.0,2,48925,0,48925,63500.0,82.0,73.59999847,1695022.25,22.76,0.47,2
other,MAGNOLIA / QUEEN ANNE,Other,Compliant,0.0,1,29000,0,29000,25100.0,,245.89999390000003,2642231.75,54.98,1.9,54
largeoffice,GREATER DUWAMISH,Office,Compliant,1.0,7,333714,146687,187027,191333.0,,73.09999847,4644839.5,42.2,0.13,2
other,GREATER DUWAMISH,Automobile Dealership,Compliant,1.0,2,56988,0,56988,24520.0,,46.90000153,544172.375,16.13,0.28,2
university,GREATER DUWAMISH,College/University,Compliant,4.0,2,149856,0,149856,149856.0,,118.6999969,6759240.5,107.29,0.72,9
other,DELRIDGE,Pre-school/Daycare,Compliant,1.0,2,44162,0,44162,44162.0,,87.09999847,1679541.25,38.13,0.86,6
smallandmidsizedoffice,EAST,Office,Compliant,0.0,2,64820,0,64820,37668.0,,111.4000015,2332889.25,29.4,0.45,104
university,EAST,College/University,Compliant,1.0,2,99765,0,99765,99765.0,,78.59999847,3372443.75,74.3,0.74,23
seniorcarecommunity,DOWNTOWN,Senior Care Community,Compliant,1.0,3,197395,156000,41395,38800.0,,158.8999939,2842128.0,58.28,0.3,27
supermarketgrocerystore,BALLARD,Supermarket/Grocery Store,Compliant,1.0,8,41198,0,41198,41198.0,44.0,561.2999877999998,7785876.5,82.58,2.0,6
other,GREATER DUWAMISH,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Compliant,1.0,1,20993,0,20993,20983.0,,129.6999969,961628.625,10.8,0.51,2
other,SOUTHEAST,Pre-school/Daycare,Compliant,1.0,0,40265,0,40265,40265.0,,130.1999969,2261075.5,51.39,1.28,7
university,NORTHEAST,College/University,Compliant,1.0,4,58779,0,58779,58779.0,,0.0,0.0,25.93,0.44,47
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,0,176225,0,176225,176225.0,91.0,73.59999847,5209463.5,103.65,0.59,5
university,NORTHEAST,College/University,Compliant,1.0,6,203030,0,203030,203030.0,,0.0,0.0,199.48,0.98,18
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,0,89392,0,89392,89392.0,16.0,262.8999939,7483350.0,48.53,0.54,46
residencehall,NORTHEAST,Residence Hall/Dormitory,Compliant,1.0,0,97040,0,97040,97040.0,69.0,114.4000015,4075094.5,62.41,0.64,5
selfstoragefacility,SOUTHEAST,Self-Storage Facility,Compliant,1.0,4,101580,14004,87576,87576.0,,32.0,940844.6875,9.91,0.1,2
other,NORTHEAST,Parking,Compliant,1.0,3,33648,0,33648,83600.0,,112.6999969,1399581.625,9.76,0.29,2
smallandmidsizedoffice,EAST,Office,Compliant,1.0,5,37873,0,37873,25927.0,,136.3999939,2346692.5,65.01,1.72,1
hotel,DOWNTOWN,Hotel,Compliant,1.0,14,144614,0,144614,159500.0,89.0,105.5999985,5547964.5,50.32,0.35,1
mixeduseproperty,MAGNOLIA / QUEEN ANNE,Office,Compliant,1.0,2,25532,0,25532,11745.0,,89.59999847,670291.0,4.38,0.17,2
other,GREATER DUWAMISH,Parking,Compliant,1.0,2,108036,0,108036,202171.0,,124.0999985,5298717.5,91.98,0.85,1
hotel,LAKE UNION,Hotel,Compliant,1.0,4,126823,41539,85284,88157.0,72.0,169.5,6042399.5,131.02,1.03,2
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,52085,4222,47863,52085.0,37.0,114.5999985,4182621.75,157.7,3.03,61
smallandmidsizedoffice,GREATER DUWAMISH,Office,Compliant,1.0,2,24990,0,24990,24990.0,9.0,378.7000122,4731813.5,134.8,5.39,87
other,NORTHEAST,Other - Recreation,Compliant,1.0,1,72000,0,72000,72000.0,,101.8000031,3198858.0,67.65,0.94,3
ktwelveschool,GREATER DUWAMISH,K-12 School,Compliant,1.0,3,45000,0,45000,45728.0,77.0,96.0,1397742.375,9.24,0.21,1
university,NORTHEAST,College/University,Compliant,1.0,1,68072,0,68072,68916.0,,144.8999939,3180819.25,22.17,0.33,54
