PrimaryPropertyType,Neighborhood,LargestPropertyUseType,ComplianceStatus,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,20520,0,20520,15400.0,20.0,112.5,1284942.5,40.85,1.99,50
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,22972,0,22972,22972.0,12.0,73.80000305,539778.5,3.45,0.15,71
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,24990,0,24990,25649.0,80.0,44.59999847,550746.6875,8.7,0.35,63
retailstore,GREATER DUWAMISH,Retail Store,Compliant,1.0,2,24000,0,24000,22740.0,,107.0,1497394.75,40.94,1.71,65
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,100386,0,100386,50628.0,,86.09999847,4060714.75,95.93,0.96,53
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,24354,0,24354,18470.0,10.0,72.30000305,735907.8125,17.29,0.71,50
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,33600,0,33600,24000.0,58.0,68.69999695,918950.6875,15.35,0.46,57
other,GREATER DUWAMISH,Manufacturing/Industrial Plant,Compliant,1.0,1,20819,0,20819,20819.0,,179.6999969,1891759.125,51.27,2.46,42
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,23296,0,23296,19471.0,,146.0,1639903.75,40.01,1.72,49
mixeduseproperty,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,35222,0,35222,15000.0,,126.5,1840153.25,40.42,1.15,62
refrigeratedwarehouse,GREATER DUWAMISH,Refrigerated Warehouse,Compliant,1.0,1,25520,0,25520,25200.0,100.0,121.8000031,1777297.75,59.0,2.31,59
other,GREATER DUWAMISH,Other,Compliant,1.0,1,25460,0,25460,8223.0,,346.6000061000001,907591.625,5.82,0.23,64
ktwelveschool,DELRIDGE,K-12 School,Error - Correct Default Data,1.0,1,41526,0,41526,41526.0,79.0,97.30000305,2033428.125,56.04,1.35,46
smallandmidsizedoffice,NORTH,Office,Compliant,1.0,2,24291,0,24291,24291.0,87.0,119.0,920430.625,6.42,0.26,42
retailstore,NORTH,Retail Store,Compliant,1.0,2,20738,0,20738,20738.0,44.0,79.80000305,526752.8125,3.67,0.18,58
mixeduseproperty,NORTH,Office,Compliant,1.0,4,30948,0,30948,11729.0,,130.6000061,975936.5,6.41,0.21,16
medicaloffice,NORTH,Medical Office,Compliant,1.0,2,28385,7056,21329,20575.0,1.0,405.1000061,2654316.0,18.5,0.65,30
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,21755,0,21755,17650.0,,116.0999985,956406.375,17.51,0.8,38
other,GREATER DUWAMISH,Other,Compliant,1.0,1,27933,0,27933,27933.0,,689.0999756,6129780.0,42.73,1.53,56
smallandmidsizedoffice,GREATER DUWAMISH,Office,Compliant,1.0,1,23143,0,23143,15609.0,75.0,102.6999969,1328072.5,38.87,1.68,33
smallandmidsizedoffice,GREATER DUWAMISH,Office,Compliant,1.0,1,28800,0,28800,28800.0,73.0,107.5,2438706.5,60.12,2.09,54
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,39600,0,39600,39600.0,85.0,32.09999847,405050.4063,2.82,0.07,64
warehouse,GREATER DUWAMISH,Non-Refrigerated Warehouse,Compliant,1.0,1,39600,0,39600,39600.0,91.0,32.0,522105.3125,9.25,0.23,64
distributioncenter,GREATER DUWAMISH,Distribution Center,Compliant,1.0,1,41248,0,41248,41430.0,37.0,77.69999695,1180859.625,16.5,0.4,79
