OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge
22149,SPS-District K-12,K-12 School,John Rogers Elementary,4030 N.E. 109th St.,Seattle,WA,98125.0,2726049114,5,NORTH,47.70743,-122.28463,1.0,1,38582,0,38582,K-12 School,K-12 School,40374.0,85.0,50.90000153,93.09999847,2054157.0,0.0,729477.0,1119402.0,True,Error - Correct Default Data,64.54,1.67,61
22163,NonResidential,Small- and Mid-Sized Office,THE CHAPMAN BLDG,5811 6TH AVE S,Seattle,WA,98108.0,2738100380,2,GREATER DUWAMISH,47.55045,-122.32749,1.0,1,25500,0,25500,Office,Office,25500.0,98.0,56.09999847,75.19999695,1430417.125,0.0,198748.0,1015122.0,False,Compliant,55.3,2.17,49
22165,NonResidential,Warehouse,(ID22165) MICHIGAN STREET BUILDINGS,790 S Michigan St,Seattle,WA,98108.0,2738100500,2,GREATER DUWAMISH,47.5478,-122.32307,1.0,1,41895,0,41895,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,37524.0,,33.5,81.0,1343671.0,0.0,886222.0,356089.0,False,Compliant,25.09,0.6,55
22166,NonResidential,Retail Store,Georgetown Center Bldg A,800 S Michigan ST.,Seattle,WA,98108.0,2738100610,2,GREATER DUWAMISH,47.54912,-122.32184,1.0,2,56193,0,56193,Retail Store,Retail Store,56193.0,,45.90000153,117.40000149999999,2580058.5,0.0,1858950.0,638992.0,False,Compliant,46.9,0.83,58
22223,NonResidential,K-12 School,St. Alphonsus School,5806 15th Ave. NW,Seattle,WA,98107.0,2767900390,6,BALLARD,47.6712,-122.37568,1.0,3,35448,0,35448,K-12 School,K-12 School,35448.0,97.0,46.0,65.59999847,1632148.75,0.0,280549.0,1099383.0,False,Compliant,60.34,1.7,94
22230,NonResidential,Supermarket / Grocery Store,BALLARD MARKET (ID22230),1400 NW 56th St,Seattle,WA,98107.0,2768100235,6,BALLARD,47.66986,-122.37418000000001,1.0,1,29214,0,29214,Supermarket/Grocery Store,Supermarket/Grocery Store,29214.0,8.0,327.2000122,782.7999877999999,9558542.0,0.0,6227281.0,3108958.0,False,Compliant,208.53,7.14,50
22252,NonResidential,Other,1415 NW 52nd,1415 NW 52nd St,Seattle,WA,98125.0,2768300955,6,BALLARD,47.66621,-122.37501999999999,1.0,1,32000,0,32000,"Office, Other - Recreation",Other - Recreation,29880.0,,44.20000076,80.90000153,1527101.375,0.0,548631.0,782491.0,False,Compliant,45.38,1.42,55
22259,NonResidential,Mixed Use Property,Building C,1148 NW Leary Way,Seattle,WA,98107.0,2768301991,6,BALLARD,47.66389,-122.37307,1.0,2,31140,0,31140,"Non-Refrigerated Warehouse, Other, Retail Store",Other,14840.0,,35.70000076,53.70000076,1111093.0,0.0,234613.0,700967.0,False,Compliant,38.86,1.25,106
22261,NonResidential,Warehouse,Building B,1141 NW 50th St,Seattle,WA,98107.0,2768301991,6,BALLARD,47.6644,-122.37246,1.0,3,41478,0,41478,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,31932.0,3.0,79.30000305,173.8999939,3287502.0,0.0,1799383.0,1236579.0,False,Compliant,78.22,1.89,41
22264,NonResidential,Warehouse,Building A,1118 NW Leary Way,Seattle,WA,98107.0,2768302361,6,BALLARD,47.66411,-122.37185,1.0,1,39840,0,39840,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,39840.0,2.0,19.39999962,61.0,774360.0,0.0,752104.0,0.0,False,Compliant,5.24,0.13,36
